,ISO_code,Country,Region,FreeSc,FreeRk,FreeQuart,RoLaw,FemSafe,PersSafe,RelFree,ExpFree,GenderIdty,PersFreeSc,PersFreeRk,EcoFreeSc,EcoFreeRk,HappyRk,HappySc,GDP_per_capita,Population,LifeAge,RelImp,PeaceRk,CorruptSc,CorruptRk,HumDevRk,HumDevSc,Gend_Eq
0,ALB,Albania,Eastern Europe,7.84,38.0,1.0,5.3,8.8,9.3,9.2,8.6,5.8,8.01,46.0,7.67,30.0,109.0,4.64400005340576,4850.0,2884169.0,78.333,39.0,60.0,38.0,91.0,69.0,0.789,7.62
1,DZA,Algeria,Middle East & North Africa,4.99,155.0,4.0,3.8,5.0,7.8,4.9,7.3,0.0,5.2,146.0,4.77,159.0,53.0,5.872000217437741,4812.0,41389189.0,76.499,90.0,107.0,33.0,112.0,82.0,0.758,5.58
2,AGO,Angola,Sub-Saharan Africa,5.4,151.0,4.0,3.4,7.5,8.1,8.8,6.5,5.0,5.98,121.0,4.83,158.0,140.0,3.79500007629395,3410.0,29816766.0,60.379,88.0,74.0,19.0,167.0,149.0,0.5760000000000001,
3,ARG,Argentina,Latin America & the Caribbean,6.86,77.0,2.0,5.7,10.0,8.8,7.8,8.7,10.0,8.04,41.0,5.67,147.0,24.0,6.59899997711182,10476.0,43937140.0,76.372,72.0,76.0,39.0,85.0,48.0,0.8320000000000001,6.42
4,ARM,Armenia,Caucasus & Central Asia,7.42,54.0,2.0,4.9,8.8,9.1,6.2,7.2,8.2,7.15,72.0,7.7,27.0,121.0,4.37599992752075,4199.0,2944791.0,74.797,93.0,117.0,35.0,107.0,81.0,0.758,7.38
5,AUS,Australia,Oceania,8.62,5.0,1.0,7.8,10.0,9.9,9.1,9.4,9.0,9.16,12.0,8.07,9.0,10.0,7.28399991989136,55958.0,24584620.0,83.12200000000001,34.0,11.0,77.0,13.0,6.0,0.937,8.91
6,AUT,Austria,Western Europe,8.48,13.0,1.0,8.2,10.0,9.9,7.9,9.3,10.0,9.25,8.0,7.71,26.0,13.0,7.00600004196167,49066.0,8819901.0,81.34,39.0,4.0,75.0,16.0,20.0,0.912,9.290000000000001
7,AZE,Azerbaijan,Caucasus & Central Asia,6.22,121.0,3.0,4.3,10.0,9.5,5.5,4.0,5.8,6.1,119.0,6.34,116.0,85.0,5.234000205993651,5815.0,9845320.0,72.693,34.0,134.0,31.0,122.0,87.0,0.752,6.819999999999999
8,BHS,Bahamas,Latin America & the Caribbean,7.56,48.0,2.0,6.4,10.0,6.7,7.9,8.9,10.0,7.87,48.0,7.25,58.0,,,27485.0,381755.0,73.554,,,65.0,28.0,60.0,0.804,6.6
9,BHR,Bahrain,Middle East & North Africa,6.63,95.0,3.0,5.9,5.0,7.4,7.5,4.1,5.0,5.91,126.0,7.35,50.0,41.0,6.08699989318848,22127.0,1494076.0,77.032,94.0,132.0,36.0,103.0,45.0,0.8390000000000001,7.78
10,BGD,Bangladesh,South Asia,5.77,138.0,4.0,3.1,5.0,7.0,5.9,7.0,1.7,5.37,142.0,6.18,123.0,110.0,4.60799980163574,1127.0,159685424.0,72.05199999999999,93.0,86.0,28.0,143.0,135.0,0.609,4.58
11,BRD,Barbados,Latin America & the Caribbean,7.02,66.0,2.0,6.7,10.0,8.6,8.5,9.1,5.0,7.59,57.0,6.45,112.0,,,16612.0,286232.0,78.98100000000001,,,68.0,25.0,56.0,0.813,7.16
12,BLR,Belarus,Eastern Europe,6.65,92.0,3.0,5.1,10.0,9.2,5.2,5.8,9.0,6.66,91.0,6.64,99.0,67.0,5.5689997673034695,6562.0,9450231.0,74.34,34.0,99.0,44.0,68.0,50.0,0.815,8.7
13,BEL,Belgium,Western Europe,8.29,23.0,1.0,7.8,10.0,9.8,8.1,9.8,9.0,9.07,14.0,7.51,40.0,17.0,6.89099979400635,46018.0,11419748.0,81.305,44.0,20.0,75.0,16.0,17.0,0.917,9.52
14,BLZ,Belize,Latin America & the Caribbean,6.95,68.0,2.0,4.3,10.0,6.7,9.1,8.5,10.0,7.12,74.0,6.78,85.0,50.0,5.955999851226809,4264.0,375769.0,74.365,62.0,,,,103.0,0.7190000000000001,6.14
15,BEN,Benin,Sub-Saharan Africa,6.77,85.0,3.0,4.2,7.1,8.7,9.4,9.0,8.8,7.47,62.0,6.08,129.0,143.0,3.65700006484985,862.0,11175198.0,61.174,93.0,83.0,39.0,85.0,163.0,0.515,3.89
16,BTN,Bhutan,South Asia,6.53,105.0,3.0,6.2,10.0,9.6,7.3,7.3,0.8,6.29,111.0,6.77,87.0,97.0,5.01100015640259,3138.0,745563.0,71.12899999999999,,25.0,67.0,26.0,134.0,0.615,5.24
17,BOL,Bolivia,Latin America & the Caribbean,6.61,97.0,3.0,3.1,8.8,8.6,8.4,8.4,10.0,7.07,75.0,6.14,126.0,58.0,5.82299995422363,2491.0,11192855.0,70.945,89.0,76.0,33.0,112.0,114.0,0.7,
18,BIH,Bosnia and Herzegovina,Eastern Europe,7.37,55.0,2.0,5.5,8.8,9.1,8.5,8.7,9.0,8.04,42.0,6.69,92.0,90.0,5.18200016021729,5828.0,3351525.0,77.128,65.0,87.0,38.0,91.0,75.0,0.767,8.34
19,BWA,Botswana,Sub-Saharan Africa,7.17,60.0,2.0,5.6,8.8,7.6,9.0,7.8,5.0,6.97,81.0,7.37,49.0,142.0,3.7660000324249303,7819.0,2205080.0,68.812,77.0,29.0,61.0,34.0,94.0,0.7240000000000001,5.66
20,BRA,Brazil,Latin America & the Caribbean,6.48,109.0,3.0,4.7,10.0,6.7,7.4,8.5,6.7,6.74,88.0,6.23,120.0,22.0,6.6350002288818395,10990.0,207833823.0,75.456,79.0,109.0,37.0,96.0,79.0,0.76,5.93
21,BRN,Brunei Darussalam,South Asia,5.69,140.0,4.0,6.2,5.0,8.3,0.0,4.6,1.7,4.76,154.0,6.62,100.0,,,,,,,,62.0,32.0,43.0,0.843,7.640000000000001
22,BGR,Bulgaria,Eastern Europe,7.79,39.0,1.0,4.9,10.0,9.8,7.1,8.8,8.2,8.04,44.0,7.54,37.0,105.0,4.71400022506714,8300.0,7102444.0,74.815,52.0,28.0,43.0,71.0,52.0,0.813,7.83
23,BFA,Burkina Faso,Sub-Saharan Africa,6.73,90.0,3.0,4.9,5.0,7.9,8.0,7.7,8.8,7.39,63.0,6.07,130.0,134.0,4.03200006484985,686.0,19193234.0,60.768,88.0,95.0,42.0,74.0,182.0,0.429,3.9000000000000004
24,BDI,Burundi,Sub-Saharan Africa,5.56,145.0,4.0,2.9,10.0,7.8,7.5,3.2,3.8,4.95,150.0,6.17,124.0,154.0,2.90499997138977,214.0,10827019.0,60.898,98.0,140.0,22.0,157.0,185.0,0.42100000000000004,5.289999999999999
25,KHM,Cambodia,South Asia,7.13,63.0,2.0,2.6,8.8,8.8,8.3,7.7,8.8,6.82,86.0,7.44,43.0,129.0,4.1680002212524405,1137.0,16009409.0,69.289,96.0,75.0,21.0,161.0,146.0,0.578,5.2700000000000005
26,CMR,Cameroon,Sub-Saharan Africa,5.64,143.0,4.0,3.0,8.7,8.1,7.9,6.8,3.8,5.43,141.0,5.84,140.0,107.0,4.69500017166138,1480.0,24566073.0,58.511,96.0,131.0,25.0,153.0,150.0,0.56,4.3100000000000005
27,CAN,Canada,North America,8.65,4.0,1.0,7.7,10.0,9.7,9.0,9.5,10.0,9.22,11.0,8.08,8.0,7.0,7.31599998474121,51282.0,36732095.0,82.21,40.0,6.0,82.0,8.0,13.0,0.9209999999999999,9.08
28,CPV,Cape Verde,Sub-Saharan Africa,7.45,52.0,2.0,5.8,10.0,8.5,8.1,8.9,6.3,7.74,50.0,7.16,63.0,,,,,72.57,,,,,,,
29,CAF,Central African Republic,Sub-Saharan Africa,5.41,150.0,4.0,2.4,7.6,4.5,8.3,8.0,8.8,5.59,137.0,5.23,151.0,155.0,2.69300007820129,340.0,4596023.0,52.24,94.0,156.0,23.0,156.0,188.0,0.376,3.2700000000000005
30,TCD,Chad,Sub-Saharan Africa,5.46,147.0,4.0,3.1,5.6,6.3,8.2,7.5,2.5,5.49,139.0,5.42,150.0,137.0,3.9360001087188703,817.0,15016753.0,53.711999999999996,95.0,138.0,20.0,165.0,187.0,0.401,2.9200000000000004
31,CHL,Chile,Latin America & the Caribbean,8.15,28.0,1.0,6.5,10.0,9.4,9.3,9.2,5.8,8.41,36.0,7.89,13.0,20.0,6.65199995040894,14721.0,18470439.0,79.90899999999999,70.0,24.0,67.0,26.0,42.0,0.845,2.8000000000000003
32,CHN,China,East Asia,6.17,126.0,4.0,4.7,10.0,9.3,3.7,5.2,9.0,5.92,124.0,6.42,113.0,79.0,5.2729997634887695,7150.0,1421021791.0,76.47,7.0,115.0,41.0,77.0,85.0,0.753,8.48
33,COL,Colombia,Latin America & the Caribbean,6.93,71.0,2.0,4.4,10.0,5.4,8.7,8.4,10.0,7.18,69.0,6.68,94.0,36.0,6.35699987411499,7636.0,48909839.0,76.925,82.0,146.0,37.0,96.0,79.0,0.76,6.17
34,CRI,Costa Rica,Latin America & the Caribbean,7.7,43.0,2.0,6.6,7.5,7.5,8.1,9.6,7.3,7.99,47.0,7.41,46.0,12.0,7.0789999961853,9721.0,4949954.0,79.914,79.0,34.0,59.0,38.0,68.0,0.792,7.0
35,HRV,Croatia,Eastern Europe,7.86,37.0,1.0,5.7,10.0,9.9,8.1,8.6,10.0,8.45,34.0,7.26,56.0,77.0,5.2930002212524405,15113.0,4182857.0,78.197,70.0,32.0,49.0,57.0,46.0,0.835,8.76
36,CYP,Cyprus,Eastern Europe,7.93,36.0,1.0,6.6,10.0,9.8,7.2,9.5,8.3,8.18,39.0,7.68,28.0,65.0,5.62099981307983,21881.0,1179678.0,80.672,75.0,54.0,57.0,42.0,31.0,0.871,9.15
37,CZE,Czechia,Eastern Europe,8.34,21.0,1.0,7.8,10.0,9.9,7.8,9.5,8.2,8.92,18.0,7.75,22.0,23.0,6.60900020599365,22655.0,10641034.0,79.058,23.0,8.0,57.0,42.0,26.0,0.888,8.76
38,COD,Democratic Republic of the Congo,Sub-Saharan Africa,5.36,152.0,4.0,2.5,8.8,6.3,8.5,6.9,6.3,5.73,133.0,5.0,157.0,126.0,4.2800002098083505,409.0,81398764.0,60.026,94.0,151.0,21.0,161.0,179.0,0.456,3.4799999999999995
39,DNK,Denmark,Western Europe,8.56,6.0,1.0,8.7,10.0,9.8,7.7,8.9,10.0,9.24,9.0,7.89,13.0,2.0,7.52199983596802,62713.0,5732274.0,80.681,42.0,5.0,88.0,2.0,11.0,0.929,9.6
40,DOM,Dominican Republic,Latin America & the Caribbean,6.95,68.0,2.0,4.4,10.0,8.3,8.5,8.0,5.8,6.98,77.0,6.92,77.0,86.0,5.230000019073491,7326.0,10513104.0,73.689,87.0,100.0,29.0,135.0,89.0,0.741,5.489999999999999
41,ECU,Ecuador,Latin America & the Caribbean,6.82,82.0,2.0,4.3,8.8,8.6,7.8,7.9,9.2,7.36,64.0,6.28,118.0,44.0,6.00799989700317,5206.0,16785361.0,76.584,68.0,66.0,32.0,117.0,85.0,0.757,6.15
42,EGY,Egypt,Middle East & North Africa,4.5,157.0,4.0,3.6,0.7,5.0,3.7,6.5,0.0,3.95,159.0,5.05,155.0,104.0,4.7350001335144,2817.0,96442591.0,71.656,97.0,139.0,32.0,117.0,116.0,0.696,5.51
43,SLV,El Salvador,Latin America & the Caribbean,6.89,75.0,2.0,4.4,8.8,5.8,9.1,8.9,6.7,6.62,93.0,7.16,63.0,45.0,6.002999782562259,3458.0,6388126.0,72.872,83.0,114.0,33.0,112.0,124.0,0.665,6.08
44,EST,Estonia,Eastern Europe,8.46,15.0,1.0,7.8,10.0,9.7,8.3,9.6,9.0,9.02,15.0,7.89,13.0,66.0,5.61100006103516,19228.0,1319390.0,78.354,16.0,36.0,71.0,21.0,30.0,0.879,8.78
45,SWZ,Eswatini,Sub-Saharan Africa,6.4,111.0,3.0,4.7,6.3,7.3,8.0,6.0,4.8,6.29,110.0,6.52,107.0,,,4839.0,1124805.0,,,82.0,,,,,
46,ETH,Ethiopia,Sub-Saharan Africa,5.25,153.0,4.0,3.3,5.5,6.6,5.6,5.4,3.8,4.77,153.0,5.72,143.0,119.0,4.46000003814697,542.0,106399924.0,65.872,99.0,127.0,35.0,107.0,173.0,0.467,4.98
47,FJI,Fiji,Oceania,7.17,60.0,2.0,4.8,8.8,9.3,9.2,7.7,10.0,7.61,56.0,6.74,90.0,,,4461.0,877459.0,67.252,92.0,,,,98.0,0.721,6.479999999999999
48,FIN,Finland,Western Europe,8.53,8.0,1.0,8.6,10.0,9.8,7.9,9.7,9.0,9.27,4.0,7.8,21.0,5.0,7.468999862670901,47532.0,5511371.0,81.561,56.0,18.0,85.0,3.0,12.0,0.924,9.42
49,FRA,France,Western Europe,8.02,33.0,1.0,6.8,8.8,9.4,7.3,9.3,10.0,8.69,29.0,7.35,50.0,31.0,6.44199991226196,44333.0,64842509.0,82.432,40.0,53.0,70.0,23.0,26.0,0.89,9.17
50,GAB,Gabon,Sub-Saharan Africa,5.99,132.0,4.0,4.1,8.8,8.2,8.9,6.2,8.8,6.1,120.0,5.88,138.0,118.0,4.46500015258789,9205.0,2064823.0,65.839,,85.0,32.0,117.0,115.0,0.7,4.66
51,GMB,"Gambia, The",Sub-Saharan Africa,5.94,135.0,4.0,4.5,1.3,5.5,7.6,5.4,0.0,4.64,155.0,7.23,60.0,,,,,,,,,,,,
52,GEO,Georgia,Caucasus & Central Asia,7.74,41.0,1.0,5.4,8.8,9.1,7.2,8.6,8.2,7.53,59.0,7.94,12.0,125.0,4.28599977493286,3972.0,4008716.0,73.414,93.0,97.0,56.0,46.0,70.0,0.7829999999999999,6.5
53,DEU,Germany,Western Europe,8.53,8.0,1.0,8.3,10.0,9.9,7.7,9.4,10.0,9.25,7.0,7.82,20.0,16.0,6.9510002136230495,46987.0,82658409.0,81.039,34.0,17.0,81.0,12.0,4.0,0.938,9.28
54,GHA,Ghana,Sub-Saharan Africa,6.94,70.0,2.0,5.7,6.1,8.2,8.1,8.8,3.8,7.3,65.0,6.58,103.0,131.0,4.11999988555908,1738.0,29121465.0,63.463,95.0,45.0,40.0,81.0,142.0,0.591,4.620000000000001
55,GRC,Greece,Eastern Europe,7.33,57.0,2.0,5.8,7.5,8.7,7.3,8.7,8.3,8.07,40.0,6.59,102.0,87.0,5.2270002365112305,23457.0,10569450.0,81.90100000000001,71.0,80.0,48.0,59.0,32.0,0.871,8.8
56,GTM,Guatemala,Latin America & the Caribbean,7.07,65.0,2.0,4.0,8.8,5.9,8.5,8.2,6.7,6.56,95.0,7.57,34.0,29.0,6.4539999961853,3124.0,16914970.0,73.81,88.0,113.0,28.0,143.0,126.0,0.649,5.07
57,GIN,Guinea,Sub-Saharan Africa,5.61,144.0,4.0,3.2,1.4,5.8,8.5,6.9,0.0,5.37,143.0,5.86,139.0,149.0,3.50699996948242,868.0,12067519.0,60.706,97.0,98.0,27.0,148.0,174.0,0.46299999999999997,
58,GNB,Guinea-Bissau,Sub-Saharan Africa,6.07,130.0,4.0,2.9,4.0,7.5,9.9,7.1,7.5,6.9,83.0,5.23,151.0,,,614.0,1828145.0,57.673,,121.0,,,178.0,0.46,
59,GUY,Guyana,Latin America & the Caribbean,6.74,88.0,3.0,4.7,10.0,7.9,9.2,8.1,7.5,7.16,70.0,6.32,117.0,,,3885.0,775222.0,69.624,,84.0,38.0,91.0,123.0,0.6679999999999999,4.96
60,HTI,Haiti,Latin America & the Caribbean,6.71,91.0,3.0,3.4,8.8,8.0,8.4,8.2,6.7,6.93,82.0,6.49,110.0,145.0,3.6029999256133998,729.0,10982366.0,63.29,75.0,89.0,22.0,157.0,169.0,0.501,3.99
61,HND,Honduras,Latin America & the Caribbean,6.81,84.0,3.0,3.2,10.0,6.5,8.7,6.5,6.7,6.47,102.0,7.16,63.0,91.0,5.1810002326965305,2172.0,9429013.0,74.898,84.0,108.0,29.0,135.0,132.0,0.621,5.21
62,HKG,Hong Kong,East Asia,8.81,3.0,1.0,7.1,10.0,10.0,8.6,8.7,9.0,8.7,27.0,8.91,1.0,71.0,5.47200012207031,38370.0,7306322.0,84.493,26.0,,77.0,13.0,4.0,0.937,
63,HUN,Hungary,Eastern Europe,7.65,45.0,2.0,5.4,7.5,8.7,7.3,8.8,10.0,8.04,43.0,7.27,54.0,75.0,5.32399988174438,15789.0,9729823.0,76.498,39.0,15.0,45.0,66.0,43.0,0.841,7.41
64,ISL,Iceland,Western Europe,8.41,18.0,1.0,7.8,10.0,9.9,8.1,9.6,9.0,9.08,13.0,7.74,23.0,3.0,7.50400018692017,52372.0,334393.0,82.725,51.0,1.0,77.0,13.0,6.0,0.935,9.379999999999999
65,IND,India,South Asia,6.64,94.0,3.0,4.3,7.5,8.0,5.5,8.0,5.7,6.37,108.0,6.91,79.0,122.0,4.31500005722046,1987.0,1338676785.0,69.165,76.0,137.0,40.0,81.0,129.0,0.643,4.76
66,IDN,Indonesia,South Asia,6.83,81.0,2.0,4.1,5.0,8.1,3.9,7.5,7.5,6.38,105.0,7.27,54.0,81.0,5.26200008392334,4120.0,264650963.0,71.282,82.0,52.0,37.0,96.0,111.0,0.7040000000000001,5.470000000000001
67,IRN,Iran,Middle East & North Africa,5.1,154.0,4.0,4.4,5.0,7.1,4.3,5.4,2.3,4.48,156.0,5.72,143.0,108.0,4.69199991226196,6952.0,80673883.0,76.271,83.0,126.0,30.0,130.0,65.0,0.799,5.389999999999999
68,IRQ,Iraq,Middle East & North Africa,4.34,158.0,4.0,2.6,4.6,3.6,5.3,5.4,0.0,3.47,160.0,5.21,153.0,117.0,4.49700021743774,5555.0,37552781.0,70.294,84.0,161.0,18.0,169.0,120.0,0.684,4.9399999999999995
69,IRL,Ireland,Western Europe,8.52,10.0,1.0,7.5,10.0,9.7,9.1,9.5,10.0,8.9,19.0,8.13,6.0,15.0,6.9770002365112305,75408.0,4753279.0,81.872,45.0,13.0,74.0,19.0,3.0,0.9390000000000001,8.91
70,ISR,Israel,Middle East & North Africa,7.61,46.0,2.0,6.8,8.8,9.0,5.9,8.5,6.3,7.7,53.0,7.53,38.0,11.0,7.212999820709231,36288.0,8243848.0,82.663,30.0,145.0,62.0,32.0,22.0,0.904,9.02
71,ITA,Italy,Western Europe,8.04,32.0,1.0,6.5,10.0,9.9,8.0,9.1,9.0,8.67,31.0,7.41,46.0,48.0,5.96400022506714,34921.0,60673701.0,83.184,74.0,39.0,50.0,54.0,29.0,0.8809999999999999,9.13
72,CIV,Ivory Coast,Sub-Saharan Africa,6.59,101.0,3.0,4.0,6.9,7.1,9.4,8.7,10.0,7.2,67.0,5.97,134.0,128.0,4.17999982833862,1616.0,24437470.0,57.016999999999996,,119.0,36.0,103.0,165.0,0.512,1.5900000000000003
73,JAM,Jamaica,Latin America & the Caribbean,7.2,59.0,2.0,5.4,10.0,6.5,9.3,9.5,4.2,7.23,66.0,7.17,61.0,76.0,5.31099987030029,4776.0,2920848.0,74.267,70.0,94.0,44.0,68.0,96.0,0.725,5.88
74,JPN,Japan,East Asia,8.28,25.0,1.0,7.6,10.0,10.0,8.1,9.2,8.2,8.7,28.0,7.86,17.0,51.0,5.92000007629395,48294.0,127502725.0,84.29,13.0,10.0,73.0,20.0,19.0,0.9129999999999999,8.97
75,JOR,Jordan,Middle East & North Africa,6.84,80.0,2.0,5.8,5.0,8.0,6.3,6.6,5.0,6.23,115.0,7.44,43.0,74.0,5.33599996566772,3211.0,9785843.0,74.292,96.0,102.0,48.0,59.0,102.0,0.722,5.4
76,KAZ,Kazakhstan,Caucasus & Central Asia,6.9,73.0,2.0,4.5,10.0,9.0,5.5,6.2,9.0,6.69,90.0,7.1,68.0,60.0,5.8189997673034695,10842.0,18080019.0,72.72800000000001,64.0,69.0,31.0,122.0,50.0,0.813,8.030000000000001
77,KEN,Kenya,Sub-Saharan Africa,6.85,79.0,2.0,4.0,5.2,6.9,7.2,8.3,6.7,6.65,92.0,7.05,70.0,112.0,4.55299997329712,1157.0,50221142.0,65.90899999999999,94.0,124.0,28.0,143.0,147.0,0.574,4.510000000000001
78,KWT,Kuwait,Middle East & North Africa,6.19,124.0,4.0,5.3,5.0,7.9,4.6,7.5,3.8,5.97,123.0,6.41,114.0,39.0,6.10500001907349,34211.0,4056099.0,75.311,91.0,49.0,39.0,85.0,57.0,0.809,7.3
79,KGZ,Kyrgyzstan,Caucasus & Central Asia,6.98,67.0,2.0,3.8,8.8,8.5,7.1,6.2,10.0,7.05,76.0,6.92,77.0,98.0,5.0040001869201705,1072.0,6189733.0,71.193,72.0,111.0,29.0,135.0,122.0,0.6709999999999999,6.08
80,LAO,Laos,South Asia,6.2,123.0,4.0,3.8,8.8,8.5,6.7,5.8,8.8,5.74,132.0,6.67,95.0,,,1707.0,6953035.0,67.277,97.0,46.0,29.0,135.0,,,
